entry_id,page,folio,length,wc-m,wordcount,% marginal,continued,categories,url,heading_tl
004v_1,8,4,1369,1513,258,45.21548576,0,varnish,https://edition640.makingandknowing.org/#/folios/4v/f/4v/tl,"Black varnish for sword guard, bands for trunks, &c"
004v_2,8,4,329,341,63,0,0,varnish,https://edition640.makingandknowing.org/#/folios/4v/f/4v/tl,"Black varnish without fire, without disassembling the harnesses or removing the bands from trunks"
004v_3,8,4,816,844,150,0,25.85784314,varnish,https://edition640.makingandknowing.org/#/folios/4v/f/4v/tl,Varnish of iron engravers
005r_1,9,5,1443,1542,252,0.069300069,0,casting,https://edition640.makingandknowing.org/#/folios/5r/f/5r/tl,Steel mirrors
005r_2,9,5,1835,1907,334,0,79.1280654,practical optics,https://edition640.makingandknowing.org/#/folios/5r/f/5r/tl,Concave mirrors
005v_1,10,5,492,521,91,0,0,metal process,https://edition640.makingandknowing.org/#/folios/5v/f/5v/tl,For bronzing in yellow and white
006r_1,11,6,2036,2123,380,0,0,painting,https://edition640.makingandknowing.org/#/folios/6r/f/6r/tl,For laying down and seating burnished gold and giving red or green or blue
006v_1,12,6,1280,1384,232,9.6875,0,glass process,https://edition640.makingandknowing.org/#/folios/6v/f/6v/tl,For ga cach cages
006v_2,12,6,610,652,117,0,0,decorative,https://edition640.makingandknowing.org/#/folios/6v/f/6v/tl,"For stampings to embellish and encrust or cover the edges of mirrors, the tops of chests, or the friezes of bed valances"
007r_1,13,7,1074,1187,210,0,0,painting,https://edition640.makingandknowing.org/#/folios/7r/f/7r/tl,For gilding with gold color and tinsel
007r_2,13,7,369,393,66,0,0,decorative,https://edition640.makingandknowing.org/#/folios/7r/f/7r/tl,For coloring stamped trunks
007r_3,13,7,144,150,28,0,0,stones,https://edition640.makingandknowing.org/#/folios/7r/f/7r/tl,Doublets
007r_4,13,7,593,661,108,24.95784148,0,tool,https://edition640.makingandknowing.org/#/folios/7r/f/7r/tl,Fish glue or isinglass and mouth glue
007v_1,14,7,355,365,60,0,0,wood and its coloring,https://edition640.makingandknowing.org/#/folios/7v/f/7v/tl,For giving the color of all kinds of metals to wood & other things
007v_2,14,7,448,472,78,0,0,medicine,https://edition640.makingandknowing.org/#/folios/7v/f/7v/tl,Against windy colic
007v_3,14,7,523,563,89,0,0,medicine,https://edition640.makingandknowing.org/#/folios/7v/f/7v/tl,For relieving the pain of G.
007v_4,14,7,250,265,34,0,0,medicine,https://edition640.makingandknowing.org/#/folios/7v/f/7v/tl,Against gonorrhea
008r_1,15,8,184,205,33,0,0,painting,https://edition640.makingandknowing.org/#/folios/8r/f/8r/tl,Lettering of gold on paper
008r_2,15,8,160,181,28,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/8r/f/8r/tl,For bursting grenades and giving force to fireworks
008r_3,15,8,499,527,93,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/8r/f/8r/tl,Tempering of balls for piercing armor of proof
008r_4,15,8,223,235,39,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/8r/f/8r/tl,For making a breach in a wall by night
008v_1,16,8,140,152,25,0,0,stones,https://edition640.makingandknowing.org/#/folios/8v/f/8v/tl,Polishing of the balas ruby
008v_2,16,8,354,377,68,0,0,painting,https://edition640.makingandknowing.org/#/folios/8v/f/8v/tl,Or and argent moulu
008v_3,16,8,307,336,55,0,0,stones,https://edition640.makingandknowing.org/#/folios/8v/f/8v/tl,Polishing of stones
008v_4,16,8,206,240,36,0,0,casting,https://edition640.makingandknowing.org/#/folios/8v/f/8v/tl,M[illegible]ixture of Pewterers
008v_5,16,8,511,569,99,0,0,casting,https://edition640.makingandknowing.org/#/folios/8v/f/8v/tl,Perfect amalgam
009r_1,17,9,841,894,157,0,0,cultivation,https://edition640.makingandknowing.org/#/folios/9r/f/9r/tl,Plowman
009r_2,17,9,125,140,20,0,0,painting,https://edition640.makingandknowing.org/#/folios/9r/f/9r/tl,Painter
009r_3,17,9,596,634,109,0,0,merchants,https://edition640.makingandknowing.org/#/folios/9r/f/9r/tl,Merchant
009v_1,18,9,735,779,126,0,0,painting,https://edition640.makingandknowing.org/#/folios/9v/f/9v/tl,Painter
009v_2,18,9,179,195,29,0,0,merchants,https://edition640.makingandknowing.org/#/folios/9v/f/9v/tl,Merchant
009v_3,18,9,646,723,142,10.99071207,0,merchants,https://edition640.makingandknowing.org/#/folios/9v/f/9v/tl,Waste book
010r_1,19,10,1381,1496,240,52.42577842,0,stones,https://edition640.makingandknowing.org/#/folios/10r/f/10r/tl,Counterfeit jasper
010r_2,19,10,163,174,32,0,0,painting,https://edition640.makingandknowing.org/#/folios/10r/f/10r/tl,Stil de grain yellow
010r_3,19,10,167,186,27,0,0,decorative,https://edition640.makingandknowing.org/#/folios/10r/f/10r/tl,Roses
010r_4,19,10,274,299,49,0,0,painting,https://edition640.makingandknowing.org/#/folios/10r/f/10r/tl,Purple color
010r_5,19,10,729,792,135,0,0,metal process,https://edition640.makingandknowing.org/#/folios/10r/f/10r/tl,Powder for hourglasses
010v_1,20,10,532,584,93,0,0,painting,https://edition640.makingandknowing.org/#/folios/10v/f/10v/tl,For painting in oil on taffeta without the oil running
010v_2,20,10,211,224,38,0,0,painting,https://edition640.makingandknowing.org/#/folios/10v/f/10v/tl,Seat for gold leaf on parchment or paper
010v_3,20,10,114,129,21,0,0,metal process,https://edition640.makingandknowing.org/#/folios/10v/f/10v/tl,For cleaning gold leaf applied to iron
010v_4,20,10,356,353,62,0,0,painting,https://edition640.makingandknowing.org/#/folios/10v/f/10v/tl,For whitening ceruse
011r_1,21,11,2302,2521,422,0,0,painting,https://edition640.makingandknowing.org/#/folios/11r/f/11r/tl,Painting esmail d’azur in oil
011v_1,22,11,227,242,40,0,0,metal process,https://edition640.makingandknowing.org/#/folios/11v/f/11v/tl,Color of Damascus steel on knives
011v_2,22,11,163,168,29,0,0,medicine,https://edition640.makingandknowing.org/#/folios/11v/f/11v/tl,For getting rid of the redness of eyes or bruising
011v_3,22,11,156,177,31,0,0,painting,https://edition640.makingandknowing.org/#/folios/11v/f/11v/tl,For coating with or mat
011v_4,22,11,601,635,109,0,0,tool,https://edition640.makingandknowing.org/#/folios/11v/f/11v/tl,For diamond points for engraving
011v_5,22,11,206,244,43,0,0,stones,https://edition640.makingandknowing.org/#/folios/11v/f/11v/tl,Polishing wheel of copper
012r_1,23,12,678,746,130,55.30973451,0,casting,https://edition640.makingandknowing.org/#/folios/12r/f/12r/tl,For molding sulfur
012r_2,23,12,625,666,115,28,0,casting,https://edition640.makingandknowing.org/#/folios/12r/f/12r/tl,Chimolée
012r_3,23,12,555,600,106,0,0,casting,https://edition640.makingandknowing.org/#/folios/12r/f/12r/tl,Paper
012r_4,23,12,687,752,126,20.52401747,0,casting,https://edition640.makingandknowing.org/#/folios/12r/f/12r/tl,Plaster
012v_1,24,12,369,394,63,20.05420054,0,casting,https://edition640.makingandknowing.org/#/folios/12v/f/12v/tl,Molding stucco promptly
012v_2,24,12,216,226,36,0,0,stones,https://edition640.makingandknowing.org/#/folios/12v/f/12v/tl,Cleaning yellow pearls
012v_3,24,12,2153,2315,377,0,39.15466791,stones,https://edition640.makingandknowing.org/#/folios/12v/f/12v/tl,For whitening enilanroc
013r_1,25,13,290,328,52,0,0,painting,https://edition640.makingandknowing.org/#/folios/13r/f/13r/tl,Flesh color from arsenic
013r_2,25,13,189,193,34,0,0,dyeing,https://edition640.makingandknowing.org/#/folios/13r/f/13r/tl,For dyeing
013r_3,25,13,207,229,38,0,0,stones,https://edition640.makingandknowing.org/#/folios/13r/f/13r/tl,Polishing of stones
013r_4,25,13,471,503,86,0,35.24416136,tool,https://edition640.makingandknowing.org/#/folios/13r/f/13r/tl,Fine sieves of raw silk
013v_1,26,13,524,564,90,0,0,painting,https://edition640.makingandknowing.org/#/folios/13v/f/13v/tl,For knowing the good cendrée of azure for oil
013v_2,26,13,145,155,23,0,0,stones,https://edition640.makingandknowing.org/#/folios/13v/f/13v/tl,Whitening of pearls
013v_3,26,13,321,342,59,0,0,medicine,https://edition640.makingandknowing.org/#/folios/13v/f/13v/tl,Toadstone
013v_4,26,13,145,183,29,0,0,casting,https://edition640.makingandknowing.org/#/folios/13v/f/13v/tl,Snakes
013v_5,26,13,162,184,24,0,0,tool,https://edition640.makingandknowing.org/#/folios/13v/f/13v/tl,Candles
014r_1,27,14,2209,2328,390,0,0,household and daily life,https://edition640.makingandknowing.org/#/folios/14r/f/14r/tl,For walls of earth and rustic construction
015r_1,29,15,694,741,125,0,0,dyeing,https://edition640.makingandknowing.org/#/folios/15r/f/15r/tl,Damasked cloth
015r_2,29,15,1028,1080,194,2.918287938,0,casting,https://edition640.makingandknowing.org/#/folios/15r/f/15r/tl,Foundry casting
015r_3,29,15,427,456,75,0,0,casting,https://edition640.makingandknowing.org/#/folios/15r/f/15r/tl,Casting gold and silver
015v_1,30,15,202,240,36,0,0,wood and its coloring,https://edition640.makingandknowing.org/#/folios/15v/f/15v/tl,Tablets
015v_2,30,15,201,224,38,0,0,practical optics,https://edition640.makingandknowing.org/#/folios/15v/f/15v/tl,"Letter, more legible"
015v_3,30,15,272,283,51,0,0,decorative,https://edition640.makingandknowing.org/#/folios/15v/f/15v/tl,Stamping
015v_4,30,15,282,301,46,0,0,tool,https://edition640.makingandknowing.org/#/folios/15v/f/15v/tl,Softening horn
015v_5,30,15,291,333,54,0,0,medicine,https://edition640.makingandknowing.org/#/folios/15v/f/15v/tl,Ears
015v_6,30,15,323,354,62,0,0,medicine,https://edition640.makingandknowing.org/#/folios/15v/f/15v/tl,Toothache
016r_1,31,16,3912,4136,737,16.87116564,27.35173824,metal process,https://edition640.makingandknowing.org/#/folios/16r/f/16r/tl,Founding of soft iron
016v_1,32,16,107,111,18,0,0,medicine,https://edition640.makingandknowing.org/#/folios/16v/f/16v/tl,Against Go.
016v_2,32,16,172,184,33,0,0,medicine,https://edition640.makingandknowing.org/#/folios/16v/f/16v/tl,For removing fine hair from the forehead
016v_3,32,16,229,243,41,0,0,dyeing,https://edition640.makingandknowing.org/#/folios/16v/f/16v/tl,Silk
016v_4,32,16,171,177,29,0,0,preserving,https://edition640.makingandknowing.org/#/folios/16v/f/16v/tl,Keeping oranges
016v_5,32,16,542,573,100,0,0,household and daily life,https://edition640.makingandknowing.org/#/folios/16v/f/16v/tl,Candles
017r_1,33,17,14562,15847,2721,25.05150391,78.23101222,arms and armor,https://edition640.makingandknowing.org/#/folios/17r/f/17r/tl,On the gunner
019v_1,38,19,726,801,138,0,0,painting,https://edition640.makingandknowing.org/#/folios/19v/f/19v/tl,  Mathematical figures without ruler and compass
019v_2,38,19,287,328,52,0,0,painting,https://edition640.makingandknowing.org/#/folios/19v/f/19v/tl,For writing as well from the left as from the right
019v_3,38,19,528,561,96,0,0,medicine,https://edition640.makingandknowing.org/#/folios/19v/f/19v/tl,Clysters
020r_1,39,20,1507,1660,288,0,0,household and daily life,https://edition640.makingandknowing.org/#/folios/20r/f/20r/tl,For making millas 
020r_2,39,20,966,1030,181,10.76604555,0,glass process,https://edition640.makingandknowing.org/#/folios/20r/f/20r/tl,Glassworker
020v_1,40,20,204,214,37,0,0,medicine,https://edition640.makingandknowing.org/#/folios/20v/f/20v/tl,For whitening the face
020v_2,40,20,462,531,78,0,0,medicine,https://edition640.makingandknowing.org/#/folios/20v/f/20v/tl,"Against winds, colic, &c"
020v_3,40,20,241,265,44,0,0,cultivation,https://edition640.makingandknowing.org/#/folios/20v/f/20v/tl,Skirret root
020v_4,40,20,152,168,25,0,0,medicine,https://edition640.makingandknowing.org/#/folios/20v/f/20v/tl,Against burn
020v_5,40,20,209,249,33,0,0,household and daily life,https://edition640.makingandknowing.org/#/folios/20v/f/20v/tl,Common saying
020v_6,40,20,257,281,47,0,0,medicine,https://edition640.makingandknowing.org/#/folios/20v/f/20v/tl,A form of regimen
021r_1,41,21,944,1013,181,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/21r/f/21r/tl,Gunner
021r_2,41,21,1760,1902,317,5.965909091,31.36363636,arms and armor,https://edition640.makingandknowing.org/#/folios/21r/f/21r/tl,For firing a cannon at night
021v_1,42,21,724,763,139,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/21v/f/21v/tl,For unspiking a cannon
021v_2,42,21,767,841,140,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/21v/f/21v/tl,Defense of a town
022r_1,43,22,100,142,21,41,0,arms and armor,https://edition640.makingandknowing.org/#/folios/22r/f/22r/tl,"Cannon ball, weighing 40 lb, having 12 lines, king's foot"
022v_1,44,22,1677,1867,315,0.059630292,0,arms and armor,https://edition640.makingandknowing.org/#/folios/22v/f/22v/tl,Orgues
023r_1,45,23,4309,4643,802,17.05732188,34.69482479,arms and armor,https://edition640.makingandknowing.org/#/folios/23r/f/23r/tl,[On petards]
023v_1,46,23,530,581,104,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/23v/f/23v/tl,[On petards]
024r_1,47,24,1975,2115,365,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/24r/f/24r/tl,Grenades
024v_1,48,24,4453,4911,810,11.47540984,50.50527734,arms and armor,https://edition640.makingandknowing.org/#/folios/24v/f/24v/tl,For bringing a cannon over land
024v_2,48,24,272,450,52,93.75,0,arms and armor,https://edition640.makingandknowing.org/#/folios/24v/f/24v/tl,Fowlers
024v_3,48,24,238,384,44,93.69747899,0,arms and armor,https://edition640.makingandknowing.org/#/folios/24v/f/24v/tl,A steel touch-hole
024v_4,48,24,99,127,19,85.85858586,0,arms and armor,https://edition640.makingandknowing.org/#/folios/24v/f/24v/tl,A touch-hole at the level
025v_1,50,25,2268,2391,404,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/25v/f/25v/tl,Gunner
026r_1,51,26,110,139,19,85.45454545,0,arms and armor,https://edition640.makingandknowing.org/#/folios/26r/f/26r/tl,Cannonball
026r_2,51,26,467,503,88,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/26r/f/26r/tl,Petard
026v_1,52,26,20,37,3,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/26v/f/26v/tl,Culverin ball
027r_1,53,27,19,32,3,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27r/f/27r/tl,Bastarde ball
027r_2,53,27,17,26,3,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27r/f/27r/tl,Medium ball
027r_3,53,27,19,32,3,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27r/f/27r/tl,Field piece
027v_1,54,27,12,21,1,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27v/f/27v/tl,Falconet
027v_2,54,27,62,109,10,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27v/f/27v/tl,"Falconet of 4 quintals, alternatively passe- volant, is 8 pans long"
027v_3,54,27,32,68,7,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27v/f/27v/tl,"3 quintals, is 9 pans long"
027v_4,54,27,63,120,13,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27v/f/27v/tl,"2 quintals, is one cane long, which is 8 Montpellier pans"
027v_5,54,27,33,67,7,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27v/f/27v/tl,"1 quintal, is six pans and a half"
027v_6,54,27,39,66,9,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27v/f/27v/tl,1 quintal and a half is 7 pans and a half
027v_7,54,27,44,86,11,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27v/f/27v/tl,"Musket, of 60 lb, is 5 pans and a half or 6"
027v_8,54,27,35,63,7,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/27v/f/27v/tl,5 quintals is eleven pans and a half
028r_1,55,28,135,149,23,74.81481481,0,arms and armor,https://edition640.makingandknowing.org/#/folios/28r/f/28r/tl,The measure of the caliber of pieces
028v_1,56,28,2360,2634,439,19.27966102,0,casting,https://edition640.makingandknowing.org/#/folios/28v/f/28v/tl,Pewterers
029r_1,57,29,2576,2772,480,2.096273292,0,casting,https://edition640.makingandknowing.org/#/folios/29r/f/29r/tl,Stucco for molding
029v_1,58,29,189,216,36,0,0,varnish,https://edition640.makingandknowing.org/#/folios/29v/f/29v/tl,Color of gold without gold on silver
029v_2,58,29,276,298,51,0,0,painting,https://edition640.makingandknowing.org/#/folios/29v/f/29v/tl,Layer of burnished gold on paper
029v_3,58,29,73,84,15,0,0,household and daily life,https://edition640.makingandknowing.org/#/folios/29v/f/29v/tl,Removing stains
029v_4,58,29,130,141,23,0,0,painting,https://edition640.makingandknowing.org/#/folios/29v/f/29v/tl,Seat for gold
029v_5,58,29,119,133,18,0,0,painting,https://edition640.makingandknowing.org/#/folios/29v/f/29v/tl,Extraction of oils
029v_6,58,29,1605,1766,295,40.87227414,0,painting,https://edition640.makingandknowing.org/#/folios/29v/f/29v/tl,Dragon’s blood
030r_1,59,30,260,280,49,0,0,metal process,https://edition640.makingandknowing.org/#/folios/30r/f/30r/tl,Lead
030r_2,59,30,3242,3437,575,0,58.91425046,casting,https://edition640.makingandknowing.org/#/folios/30r/f/30r/tl,Pewterer
031r_1,61,31,146,167,24,0,0,cultivation,https://edition640.makingandknowing.org/#/folios/31r/f/31r/tl,New vine
031r_2,61,31,253,282,40,0,0,metal process,https://edition640.makingandknowing.org/#/folios/31r/f/31r/tl,Colored waters
031r_3,61,31,367,397,69,0,0,varnish,https://edition640.makingandknowing.org/#/folios/31r/f/31r/tl,Varnish resistant to water
031r_4,61,31,173,192,33,0,0,painting,https://edition640.makingandknowing.org/#/folios/31r/f/31r/tl,Fruit made from sugar
031v_1,62,31,332,369,59,0,0,painting,https://edition640.makingandknowing.org/#/folios/31v/f/31v/tl,Painter
031v_2,62,31,142,163,25,0,0,painting,https://edition640.makingandknowing.org/#/folios/31v/f/31v/tl,Brushes
031v_3,62,31,144,161,24,0,0,painting,https://edition640.makingandknowing.org/#/folios/31v/f/31v/tl,Painting from nature
031v_4,62,31,518,560,95,0,0,painting,https://edition640.makingandknowing.org/#/folios/31v/f/31v/tl,Painting on glass
032r_1,63,32,394,416,66,0,0,arms and armor,https://edition640.makingandknowing.org/#/folios/32r/f/32r/tl,The body of the cuirass
032r_2,63,32,339,361,56,0,0,painting,https://edition640.makingandknowing.org/#/folios/32r/f/32r/tl,Painter
032r_3,63,32,702,765,129,0,0,painting,https://edition640.makingandknowing.org/#/folios/32r/f/32r/tl,For layering gold in distemper
032v_1,64,32,847,921,154,0,0,dyeing,https://edition640.makingandknowing.org/#/folios/32v/f/32v/tl,Mat maker
032v_2,64,32,418,472,71,0,0,glass process,https://edition640.makingandknowing.org/#/folios/32v/f/32v/tl,Glassworker
032v_3,64,32,888,994,172,3.265765766,0,casting,https://edition640.makingandknowing.org/#/folios/32v/f/32v/tl,Founder
033r_1,65,33,1425,1604,277,14.31578947,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/33r/f/33r/tl,Knife for cutting the nose or a finger
033r_2,65,33,730,786,127,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/33r/f/33r/tl,X For relighting an extinguished candle between your hands without blowing
033v_1,66,33,582,636,114,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/33v/f/33v/tl,For making it seem that to someone that he has a piece of silver on his forehead
033v_2,66,33,1552,1687,313,17.33247423,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/33v/f/33v/tl,For making blood or wine issue from someone’s forehead or from a wall
034r_1,67,34,220,243,40,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/34r/f/34r/tl,"For telling someone that by putting holding a finger to his forehead, you will prevent him from exiting a chamber"
034r_2,67,34,337,387,65,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/34r/f/34r/tl,"X Wager someone e that walking to a certain place and back, he cannot say boot without spur four times in a row"
034r_3,67,34,114,125,21,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/34r/f/34r/tl,For making a candlestick hold to the wall without making a hole in it
034r_4,67,34,212,232,41,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/34r/f/34r/tl,X How not to break a glass with a log or a large stick
034r_5,67,34,283,304,49,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/34r/f/34r/tl,Writing cunningly
034v_1,68,34,2024,2158,378,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/34v/f/34v/tl,For melting or transmuting a jewel put inside a box
035r_1,69,35,287,317,56,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/35r/f/35r/tl,"For telling someone that you will show teach him something he does not know, and neither do you"
035r_2,69,35,829,894,142,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/35r/f/35r/tl,For supporting a bucket of water on the tips of three knives laid down without touching the ground
035r_3,69,35,277,299,53,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/35r/f/35r/tl,For boiling an egg in cold water without fire
035r_4,69,35,177,185,31,0,0,household and daily life,https://edition640.makingandknowing.org/#/folios/35r/f/35r/tl,For making rabbits come out of a burrow
035v_1,70,35,187,215,34,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/35v/f/35v/tl,For preventing someone from eating a foodstuff
035v_2,70,35,1717,1817,309,0,5.765870705,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/35v/f/35v/tl,For transmuting grain from one vessel to another
036r_1,71,36,1621,1733,315,0,0,tricks and sleight of hand,https://edition640.makingandknowing.org/#/folios/36r/f/36r/tl,"For transmuting a ball into a thimble, cunning"
036v_1,72,36,539,579,103,0,0,casting,https://edition640.makingandknowing.org/#/folios/36v/f/36v/tl,Founder
036v_2,72,36,194,212,36,0,0,casting,https://edition640.makingandknowing.org/#/folios/36v/f/36v/tl,Four à vent
036v_3,72,36,1182,1239,220,10.15228426,0,glass process,https://edition640.makingandknowing.org/#/folios/36v/f/36v/tl,Glassworkers’ glass
037r_1,73,37,496,537,95,0,0,casting,https://edition640.makingandknowing.org/#/folios/37r/f/37r/tl,Founder
037r_2,73,37,531,557,91,0,0,medicine,https://edition640.makingandknowing.org/#/folios/37r/f/37r/tl,Medicine for the stomach which heats it and unstops the liver
037r_3,73,37,165,192,32,0,0,stones,https://edition640.makingandknowing.org/#/folios/37r/f/37r/tl,Foil backings for the [illegible] gemstones
037r_4,73,37,316,341,59,0,0,household and daily life,https://edition640.makingandknowing.org/#/folios/37r/f/37r/tl,For keeping candles from dripping and making them white
037v_1,74,37,654,717,116,0,0,cultivation,https://edition640.makingandknowing.org/#/folios/37v/f/37v/tl,Gardener
037v_2,74,37,962,1066,171,0,0,glass process,https://edition640.makingandknowing.org/#/folios/37v/f/37v/tl,Glassworker
037v_3,74,37,539,582,95,0,0,stones,https://edition640.makingandknowing.org/#/folios/37v/f/37v/tl,Yellow Amber
038r_1,75,38,652,718,113,0,0,stones,https://edition640.makingandknowing.org/#/folios/38r/f/38r/tl,Sapphire
038r_2,75,38,221,220,37,0,0,dyeing,https://edition640.makingandknowing.org/#/folios/38r/f/38r/tl,Saffron
038r_3,75,38,705,771,121,0,0,stones,https://edition640.makingandknowing.org/#/folios/38r/f/38r/tl,Sapphire
038r_4,75,38,1512,1621,273,13.16137566,0,stones,https://edition640.makingandknowing.org/#/folios/38r/f/38r/tl,Amber
038v_1,76,38,210,214,33,0,0,dyeing,https://edition640.makingandknowing.org/#/folios/38v/f/38v/tl,Black color for dyeing
038v_2,76,38,243,267,45,0,0,medicine,https://edition640.makingandknowing.org/#/folios/38v/f/38v/tl,Against nosebleed and for dyeing
038v_3,76,38,198,221,36,0,0,cultivation,https://edition640.makingandknowing.org/#/folios/38v/f/38v/tl,Beautiful artichokes
038v_4,76,38,215,236,40,0,0,cultivation,https://edition640.makingandknowing.org/#/folios/38v/f/38v/tl,Planting trees
038v_5,76,38,332,338,61,0,0,merchants,https://edition640.makingandknowing.org/#/folios/38v/f/38v/tl,Merchant
038v_6,76,38,360,393,68,0,0,dyeing,https://edition640.makingandknowing.org/#/folios/38v/f/38v/tl,Scarlets
039r_1,77,39,640,713,110,0,0,casting,https://edition640.makingandknowing.org/#/folios/39r/f/39r/tl,Goldsmith
039r_2,77,39,1198,1269,223,0,0,cultivation,https://edition640.makingandknowing.org/#/folios/39r/f/39r/tl,Pastel woad
039v_1,78,39,358,406,66,0,0,painting,https://edition640.makingandknowing.org/#/folios/39v/f/39v/tl,Enamel
039v_2,78,39,162,174,27,0,0,painting,https://edition640.makingandknowing.org/#/folios/39v/f/39v/tl,Colors for illumination on glass
039v_3,78,39,2213,2325,383,0,16.80976051,painting,https://edition640.makingandknowing.org/#/folios/39v/f/39v/tl,Tracing some history on glass
040r_1,79,40,197,207,33,0,0,dyeing,https://edition640.makingandknowing.org/#/folios/40r/f/40r/tl,Dye
040r_2,79,40,305,343,54,0,0,corrosives,https://edition640.makingandknowing.org/#/folios/40r/f/40r/tl,Aquafortis
040r_3,79,40,431,459,78,0,0,household and daily life,https://edition640.makingandknowing.org/#/folios/40r/f/40r/tl,Vinegar
040r_4,79,40,241,287,43,0,0,metal process,https://edition640.makingandknowing.org/#/folios/40r/f/40r/tl,Buttons of vermeilles
040r_5,79,40,237,261,43,0,0,decorative,https://edition640.makingandknowing.org/#/folios/40r/f/40r/tl,Grottos
040v_1,80,40,505,532,94,0,0,painting,https://edition640.makingandknowing.org/#/folios/40v/f/40v/tl,Cross of the commanders of Malta
040v_2,80,40,189,212,36,0,0,metal process,https://edition640.makingandknowing.org/#/folios/40v/f/40v/tl,Latten and calamine
